claim_id,claim_text,old,new12,new27,delta_pipeline_pp,delta_sample_pp,verdict,cause,refit_status
P0,Overall LWS rate (headline),26.24% +/- 1.96 (by-subj),27.57% +/- 1.89,27.60% +/- 1.63,+1.33,+0.03,STABLE,px2deg/outlier-in-visits (channels 1-2),descriptive only -- confirmed sufficient
P1,Animate vs inanimate,+10.98pp; P(dir)=1.0000,+10.41pp,+7.67pp,-0.57,-2.74,STABLE,none needed -- evidence far from any boundary throughout,not triggered
P2,Human face vs other animate,-8.30pp; P(dir)=0.0005,-8.29pp,-5.58pp,+0.01,+2.72,STABLE,none needed,not triggered
P3,Handmade vs natural,+1.12pp; P(dir)=0.3434 (null),+1.21pp,+0.29pp,+0.09,-0.83,STABLE,none needed -- stays null both sides,not triggered
P4,Grayscale vs color,+7.35pp; P(dir)=0.0009,+10.38pp,+9.72pp,+3.03,-0.66,TRIGGERED,px2deg/outlier-in-visits -- pipeline estimate moved >3pp,"NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: >3pp move, pipeline arm)"
P5,Noise vs color,+1.09pp; P(dir)=0.3010 (null),+1.00pp,+2.38pp,-0.09,+1.38,STABLE,none needed -- stays null both sides,not triggered
P6,Grayscale vs noise,+6.26pp; P(dir)=0.9964,+9.38pp,+7.34pp,+3.12,-2.04,TRIGGERED,"same channel as P4, likely shared cause -- pipeline estimate moved >3pp","NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: >3pp move, pipeline arm)"
P7,Target angle 0 vs 20,+1.76pp; P(dir)=0.7113 (null),+3.95pp,-2.39pp,+2.19,-6.34,TRIGGERED,"sign reverses old/new12 -> new27 -- likely sample noise around an already-null effect, but rule is unconditional","NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: sign flip, sample arm)"
P8,Target angle 0 vs 20 within grayscale,+1.17pp; P(dir)=0.5753 (null),-2.17pp,-4.96pp,-3.34,-2.79,TRIGGERED,"sign reverses old -> new12; small n (17-38 old) makes this noisy","NOT REFIT (decision: headline VSS claims already stable, low benefit) (rule: sign flip, pipeline arm)"
P9,Funnel visits -> LWS,2341 -> 614 (26.23%),2390 -> 660 (27.62%),5337 -> 1424 (26.68%),+1.39,-0.94,STABLE,px2deg (+outlier/action-parsing fixes push valid-trial/visit counts),descriptive only
